----------------------
REPORT
----------------------
Total Notifications Sent: 0
Successfully connected to the database.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
Batch processed: 0 notifications queued.
